[2024-08-21 19:09:30,559: INFO: main: Welcome to custom log]
[2024-08-21 19:11:23,741: INFO: main: Welcome to custom log]
[2024-08-21 21:02:27,823: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-21 21:02:27,828: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 21:02:27,829: INFO: common: created directory at: artifacts]
[2024-08-21 21:02:27,830: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 21:02:27,831: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-21 21:02:37,772: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-21 21:14:40,822: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-21 21:14:40,824: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-21 21:14:40,825: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 21:14:40,825: INFO: common: created directory at: artifacts]
[2024-08-21 21:14:40,825: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 21:14:40,825: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-21 21:14:55,707: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-21 21:14:56,159: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
